,state,V
0,106,0.025681696687707426
1,310,-0.3265515833605223
2,209,-0.20873488768366785
3,409,-0.21479416704206722
4,1109,-0.17303852548523058
5,402,0.23662049655380016
6,907,-0.03206751139510932
7,501,0.3129982513036278
8,105,0.1108483384182237
9,107,-0.0415882075652748
10,1007,-0.08617137449844665
11,1008,-0.15175901718048904
12,102,0.23562661322744397
13,1807,0.42603098962025077
14,805,0.10514491126556823
15,1705,0.09107178433300332
16,703,0.14023649839959
17,904,0.07247650693224654
18,1004,0.08815279344186647
19,507,-0.0712982822658932
20,505,0.09747751610909651
21,708,-0.11255185600276554
22,1508,-0.08754137841130702
23,1208,-0.12860358168873195
24,307,-0.08415718474257264
25,207,-0.02856458084769573
26,908,-0.11308001916582491
27,1708,0.059293322502893896
28,410,-0.2870907544448846
29,605,0.11227707547655823
30,606,0.0672340691808321
31,1406,-0.011540566196831569
32,508,-0.1268436976383257
33,303,0.18259262461099754
34,1103,0.18433747481253962
35,903,0.20838256530896893
36,1503,0.18928311988601956
37,1303,0.21486013233798076
38,403,0.1972052965436206
39,1203,0.18267237469377579
40,2003,0.8122407628873806
41,1808,0.37285789071683095
42,910,-0.2983679506973002
43,1110,-0.25296058893478535
44,607,-0.07980053076435464
45,1003,0.18427732576026837
46,1403,0.1674351354703761
47,1703,0.32599222070219314
48,601,0.2974207711328539
49,103,0.1963110773358892
50,707,-0.028512317863954535
51,1507,-0.007338060524602805
52,802,0.18244468796801788
53,404,0.14545633120070411
54,506,0.07375682968053872
55,1506,-0.04705318820067583
56,803,0.16620206419415168
57,1308,-0.12320473542345352
58,702,0.18567989212790684
59,202,0.2639214931437537
60,602,0.19839393962414495
61,608,-0.14418470029372793
62,1408,-0.16333342474679516
63,1908,0.6206921592902639
64,308,-0.11745776894612758
65,201,0.30840666736213596
66,407,-0.030083715379353875
67,208,-0.14818423658899013
68,1603,0.18506249193109547
69,1803,0.48955986868299733
70,301,0.2534497503554141
71,806,0.06749143560923043
72,1106,0.06783098621371347
73,2106,0.9387067237722247
74,705,0.07137833075934777
75,701,0.3086292257639733
76,1601,0.31335939683980485
77,203,0.2019043617017851
78,408,-0.13240194025677032
79,603,0.20333335921952767
80,109,-0.2066141090671216
81,1707,0.14107653753738164
82,1009,-0.20983502948730567
83,1409,-0.2736639299270613
84,104,0.11151899111723354
85,1201,0.3316071759302992
86,401,0.30624817854264913
87,1001,0.31184327169476433
88,1804,0.47963578032867815
89,810,-0.30284426035288153
90,804,0.13637511570486777
91,1504,0.14837979668945775
92,2104,0.9351141878128308
93,1202,0.2554808591313591
94,905,0.03928254516950071
95,101,0.303668326134138
96,108,-0.1296462578030887
97,706,0.0008621634802410884
98,1108,-0.11082832423313863
99,1002,0.19800331094768692
100,1010,-0.2660742756006048
101,710,-0.3209947240549835
102,210,-0.2889313226766668
103,1602,0.2512036171102474
104,610,-0.3313278248648764
105,502,0.24894064528698806
106,509,-0.2624233037372694
107,909,-0.20755064777554644
108,1505,0.11804124638143804
109,1805,0.43202073194335877
110,2105,0.9298221146121659
111,807,-0.01083299003886637
112,1307,-0.07983518513892536
113,305,0.09586068452418689
114,110,-0.3179123654385741
115,1510,-0.27469234520315516
116,1710,-0.16797699889561288
117,1210,-0.2937909486100832
118,808,-0.17959256162126563
119,1907,0.6036930794938606
120,709,-0.2619388280513534
121,1209,-0.20916656501858943
122,1606,-0.012188406216783928
123,405,0.047854552994130134
124,609,-0.21006039489889164
125,1006,0.08015387554322269
126,1706,0.05044801014922022
127,309,-0.24820674876981783
128,1806,0.39036789060141647
129,1309,-0.2307897909565539
130,704,0.14936647716193485
131,906,0.07259157250852032
132,1609,-0.23671439349012513
133,1005,0.031111785852448753
134,406,0.08305830104396236
135,1205,0.06292353172664725
136,1404,0.13768470409098824
137,1306,0.07176624119923529
138,901,0.2817375692633283
139,1801,0.5877444690294535
140,1105,0.10656229982779823
141,1305,0.02809670622811549
142,503,0.21641873084894508
143,206,0.06350370034651026
144,2110,0.9329910645516883
145,1903,0.6490245324273806
146,204,0.14381454799971494
147,1702,0.34274075108037255
148,1502,0.23091559191246985
149,604,0.14152402974059028
150,1104,0.059264880023267616
151,304,0.14583215607478892
152,801,0.3289147819871381
153,1501,0.31749965059137314
154,1402,0.24013769046323752
155,2008,0.7990202364061544
156,2108,0.9295423301553373
157,205,0.08846635627130119
158,510,-0.2854277269463508
159,2007,0.7688877603425647
160,1407,-0.11833860336438225
161,1101,0.215016312269527
162,902,0.20055773277760253
163,1610,-0.26692085651484543
164,1405,0.1426484875148089
165,504,0.15931284980478702
166,1206,0.08526869018030143
167,1607,-0.041967907689140486
168,809,-0.21125806713087247
169,302,0.2511452268379566
170,1207,-0.014917316297647353
171,306,0.05055522339850916
172,1608,-0.1437696145254784
173,1904,0.6429851374504385
174,1310,-0.30877094069525174
175,1906,0.6033521599802494
176,1204,0.17800159727137763
177,2004,0.5958747148710071
178,1802,0.5285593221802803
179,1809,0.2889581533100984
180,2009,0.8029418922177599
181,1910,0.43604316487049777
182,2010,0.7529271944552709
183,1107,-0.038702874283617544
184,2006,0.7684475566539248
185,1509,-0.18485320518261847
186,1102,0.2619745777543379
187,1302,0.23778619729216147
188,1604,0.13610453375696646
189,1605,0.0799461563253221
190,1709,-0.1406339183501361
191,1304,0.15310500733763008
192,1905,0.603936646461023
193,2005,0.7751858234656287
194,1410,-0.3343312251377951
195,1704,0.12042602296621696
196,1401,0.3265340552727805
197,1901,0.5733026837828464
198,1902,0.720918176739418
199,1301,0.17025151248445566
200,1909,0.5803915729325453
201,1810,0.199545835538285
202,2002,0.8135869768872133
203,2109,0.9426803814746322
204,2103,0.9321912175820029
205,1701,0.4124527326195566
206,2001,0.8363371050510424
207,2107,0.9340272471631347
208,2101,0.9558818568236517
209,2102,0.9540033524898175
